Hip	Const-abbreviations	Const-names	ProperName	B-F-ID	F-ID	B-ID	RA	Dec	Distance	Mag	AbsMag	Spectrum	ColorIndex
31681	Gem	Gemini	Alhena	24Gam	24 Gem	γ Gem	6.62852842	16.39941482	32.13367609	1.93	-0.6048020584	A0IV	0.001
100751	Pav	Pavo		Alp		α Pav	20.42745823	-56.73488071	56.17977528	1.94	-1.807899989	B2IV	-0.118
11767	UMi	Ursa Minor	Polaris	1Alp	1 UMi	α UMi	2.52974312	89.26413805	132.2751323	1.97	-3.637391023	F7:Ib-IIv SB	0.636
30324	CMa	Canis Major		2Bet	2 CMa	β CMa	6.37832983	-17.95591658	153.1393568	1.98	-3.945434094	B1II/III	-0.24
46390	Hya	Hydra	Alphard	30Alp	30 Hya	α Hya	9.45979217	-8.65868335	54.34782609	1.99	-1.685910885	K3III	1.44
9884	Ari	Aries	Hamal	13Alp	13 Ari	α Ari	2.11952383	23.46277743	20.21018593	2.01	0.4821484548	K2III	1.151
50583	Leo	Leo	Algieba	41Gam1	41 Leo	γ1 Leo	10.3328227	19.84186032	38.52080123	2.01	-0.9184765594	K0III	1.128
3419	Cet	Cetus	Diphda	16Bet	16 Cet	β Cet	0.7264523	-17.9866841	29.37720329	2.04	-0.3000522429	K0III	1.019
92855	Sgr	Sagittarius	Nunki	34Sig	34 Sgr	σ Sgr	18.92108797	-26.29659428	68.77579092	2.05	-2.137177967	B2.5V	-0.134
68933	Cen	Centaurus		5The	5 Cen	θ Cen	14.11147907	-36.36869575	18.68460389	2.06	0.7025805238	K0IIIb	1.011
112122	Gru	Grus		Bet		β Gru	22.71109302	-46.88456594	52.1648409	2.07	-1.516889436	M5III	1.61
72607	UMi	Ursa Minor	Kochab	7Bet	7 UMi	β UMi	14.84510983	74.15547596	38.77471888	2.07	-0.8727432893	K4IIIvar	1.465
677	And	Andromeda	Alpheratz	21Alp	21 And	α And	0.13976888	29.09082805	29.76190476	2.07	-0.2983036131	B9p	-0.038
5447	And	Andromeda	Mirach	43Bet	43 And	β And	1.16216599	35.62083048	61.12469438	2.07	-1.861083503	M0IIIvar	1.576
27366	Ori	Orion	Saiph	53Kap	53 Ori	κ Ori	5.79594109	-9.66960186	221.2389381	2.07	-4.654307826	B0.5Iavar	-0.168
86032	Oph	Ophiuchus	Rasalhague	55Alp	55 Oph	α Oph	17.58222354	12.56057584	14.31844215	2.08	1.300521154	A5III	0.155
14576	Per	Perseus	Algol	26Bet	26 Per	β Per	3.13614714	40.9556512	28.45759818	2.09	-0.1809912142	B8V	-0.003
9640	And	Andromeda		57Gam1	57 And	γ1 And	2.06497752	42.32984832	108.8139282	2.1	-3.083422443	B8V	1.37
57632	Leo	Leo	Denebola	94Bet	94 Leo	β Leo	11.81774398	14.57233687	11.09139308	2.14	1.915069515	A3Vvar	0.09
4427	Cas	Cassiopeia		27Gam	27 Cas	γ Cas	0.9451392	60.71674966	187.9699248	2.15	-4.220441839	B0IV:evar	-0.046
61932	Cen	Centaurus		Gam		γ Cen	12.69200138	-48.95988553	39.9840064	2.2	-0.8094315413	A1IV	-0.023
45556	Car	Carina		Iot		ι Car	9.28484122	-59.27526115	212.3142251	2.21	-4.424895464	A8Ib	0.189
39429	Pup	Puppis		Zet		ζ Pup	8.0597417	-40.00318846	429.1845494	2.21	-5.953220395	O5IAf	-0.269
76267	CrB	Corona Borealis	Alphekka	5Alp	5 CrB	α CrB	15.57810819	26.71491041	22.90950745	2.22	0.4199212402	A0V	0.032
44816	Vel	Vela		Lam		λ Vel	9.13327141	-43.43262406	175.7469244	2.23	-3.994438668	K4Ib-II	1.665
100453	Cyg	Cygnus		37Gam	37 Cyg	γ Cyg	20.37047223	40.2566815	467.2897196	2.23	-6.117931133	F8Ib	0.673
65378	UMa	Ursa Major	Mizar	79Zet	79 UMa	ζ UMa	13.39872773	54.92541525	23.96357537	2.23	0.3322419236	A2V	0.057
3179	Cas	Cassiopeia	Shedir	18Alp	18 Cas	α Cas	0.67510756	56.53740928	70.07708479	2.24	-1.987880134	K0II-IIIvar	1.17
87833	Dra	Draco	Etamin	33Gam	33 Dra	γ Dra	17.94343829	51.48895101	45.24886878	2.24	-1.038038632	K5III	1.521
25930	Ori	Orion		34Del	34 Ori	δ Ori	5.53344437	-0.2990934	280.8988764	2.25	-4.99275001	O9.5II	-0.175
746	Cas	Cassiopeia	Caph	11Bet	11 Cas	β Cas	0.15280269	59.15021814	16.69727834	2.28	1.166771565	F2III-IV	0.38
66657	Cen	Centaurus		Eps		ε Cen	13.66479797	-53.46636269	115.2073733	2.29	-3.017401374	B1III	-0.171
78401	Sco	Scorpius		7Del	7 Sco	δ Sco	16.00555881	-22.62162024	123.1527094	2.29	-3.162219854	B0.2IV	-0.117
82396	Sco	Scorpius		26Eps	26 Sco	ε Sco	16.83617915	-34.29260982	20.06018054	2.29	0.7783258132	K2IIIb	1.144
71860	Lup	Lupus		Alp		α Lup	14.69882606	-47.38814127	168.0672269	2.3	-3.827415171	B1.5III	-0.154
71352	Cen	Centaurus		Eta		η Cen	14.5917921	-42.15774562	94.60737938	2.33	-2.549625064	B1Vn + A	-0.157
